frame,stem,n_valid,n_removed,area_frac,resolution_mm,oracle_mm,oracle_mrad,res_all_mm,res_robust_mm,res_oracle_mm,res_mrcs_mm,res_shift_mm,oracle_x,oracle_y,oracle_z,robust_mm,robust_pi,mrcs_mm,mrcs_pi,shift_mm,shift_max_mm,shift_pi
30,1548340550.98251,179468,1168,0.006508124010965744,0.08022099116281664,0.05100671443334024,0.024280090632913955,0.08022099116281664,1.6067837302591665,0.05029136247947726,nan,0.09141105475372001,0.03529329943137378,-0.03680442802554845,-0.00122556527526466,1.632533845388659,22.284435270661344,nan,nan,0.06187773036128642,0.09613128437378479,0.05920711606693853
60,1548340552.01689,179385,2584,0.014404771859408534,5.86754701600001,0.9505652979492752,0.5980769901306212,5.86754701600001,7.287424424254001,5.50854382107393,nan,5.679562417593901,-0.24731024284846273,-0.6352607289252638,-0.6624619504039242,4.3499030172528474,1.1501904580471447,nan,nan,0.7671573521233281,0.8865586041055855,0.7084774814591525
89,1548340552.98458,169548,1433,0.008451883832307076,10.343648974716153,1.167274520682405,1.109996829234694,10.11154091821386,8.82638343323553,10.343648974716153,nan,nan,-0.3032990843885996,1.0304641504751335,-0.45681846134863735,8.108206260365275,1.7751311742847131,nan,nan,nan,nan,nan
119,1548340553.98564,111980,3888,0.0347204858010359,21.317022293612155,2.4003278651300914,6.043280598670558,21.317022293612155,15.699204400486066,18.545266815951734,nan,19.24489009704184,1.0801919041770922,2.0798714002616876,-0.5185501602002812,5.673942875677045,1.7708705608117468,nan,nan,2.381362551082873,2.8818924976927516,0.9878826098658244
267,1548340558.95745,181919,4400,0.024186588536656423,33.30661993887033,0.830085269290299,0.5266531295287533,33.30661993887033,29.805746936931044,31.431085481859828,nan,33.27957133181849,-0.061287787032098084,-0.7582605259548311,0.33215408507522426,3.0720713748428055,3.143592948738483,nan,nan,0.9977870442704644,1.244378318918883,1.1935315232898662
327,1548340560.95953,189765,5384,0.028371933707480305,0.18673928637274226,0.14185820294133578,0.08992480024241221,0.18673928637274226,4.6574416882315415,0.1809462341072028,nan,0.21171944897136113,-0.05836459617586534,0.12575083739511145,0.0300674333690392,5.748940708593558,-35.398583802944266,nan,nan,0.05686551001328709,0.06805805277566225,-0.10506000233266438
356,1548340561.92718,184361,3617,0.0196191168414144,12.253939279461239,1.6943163665502363,0.9070034904440039,12.253939279461239,8.285925270477254,12.077286249112829,nan,12.357573329865348,0.5250875437091908,1.4401502411681335,-0.7217744136950339,6.51848187119342,-2.6432681224107295,nan,nan,0.8134295647962738,1.727644778734744,0.42534807061819646
416,1548340563.92928,190754,2543,0.013331306289776362,20.545557326367284,0.5741568945546449,0.20576507695878068,19.9194773741749,12.518330517214624,20.545557326367284,nan,20.433886201498527,0.34093757495806415,-0.13865140879034102,-0.4406739116249131,13.63372551918881,-5.248200802224137,nan,nan,0.45198481299092663,0.45937737196330297,-0.0790342675394695
445,1548340564.89694,186132,1687,0.009063460339973782,0.004252853981343929,0.0859785301597263,0.036974858794172206,0.004252853981343929,0.49795172102438706,0.003920331026781406,nan,0.004362235649236769,-0.07420158309944513,0.021832978100481956,0.03754668801941097,1.0121157781539654,1.3307734846689228,nan,nan,0.037314792095568414,0.08955432798985805,-0.19898502639080295
475,1548340565.89800,187407,1372,0.007320964531741077,1.3833816939276762,0.11203516707031734,0.037948371566416415,1.3751633769815306,5.673113431266266,1.3833816939276762,nan,1.3944647003910848,-0.052214197464979496,-0.07745246170474349,0.06186010361644483,3.1141704573967726,16.54092965525776,nan,nan,0.06824974788737857,0.3267751841731459,0.08070113697679071
505,1548340566.93239,191172,788,0.00412194254388718,0.00036643279640325306,0.04719679070901111,0.02268438815815573,0.00036643279640325306,0.03703567700718413,0.0001599157711317557,nan,0.0002155539402202471,0.04472296013905031,0.00753727629860441,0.013060756319203356,0.6182561797899588,12.175512368078602,nan,nan,0.02190131880578184,0.03187608150996645,0.13814699306909808
534,1548340567.90004,188924,3018,0.015974677648154814,6.299429914110069,2.5865172475669143,0.583723896075418,4.959746270472206,3.0674956156596243,6.299429914110069,nan,5.46253684247186,-2.4561916163745927,0.6720498187369065,0.4533687866935506,14.748520266486658,4.0362254916539895,nan,nan,0.7297834108608992,0.891296697700237,-0.10330146781216124
564,1548340568.96777,173743,1165,0.006705306113052037,4.3134699678352995,1.9716874853235382,0.6426786223127035,4.2766051037730515,8.18922864947862,4.3134699678352995,nan,4.265125101880344,-1.965114140975585,-0.08120465372497347,-0.1388659675105943,45.99711603345557,14.505434072394275,nan,nan,0.4834085386917202,2.997189010988862,0.15403013050985498
653,1548340571.93759,139795,1027,0.007346471619156622,27.878358207017865,7.3981904777816645,2.2465364851595897,26.560350524520864,28.636048829640586,27.878358207017865,nan,27.240138886553815,-4.14503170580045,-6.110770727054434,-0.4587108291973538,50.60134268930494,-6.056666476595473,nan,nan,1.477401571230998,2.3379886911245205,0.049817331786070486
683,1548340572.93866,136016,2112,0.015527584990001177,28.691833920645895,5.304075619099957,1.3364282434964687,28.691833920645895,23.56828976186479,23.229006431064015,nan,28.702543172651612,-0.04676179939068409,-5.11148409608779,-1.4155429497863796,22.42437614607077,2.8306320360698414,nan,nan,2.867921657853621,8.747421598536786,0.5010595706981605
712,1548340573.90631,146086,1144,0.007831003655381077,0.0012124838975415566,0.30776948429886153,0.09977777499929279,0.0012124838975415566,0.18510694408667577,0.001171645932023903,nan,0.0014212553582755674,0.2986261242650101,0.03900593675979638,0.06342736215180861,2.780802509621752,-7.251178387322327,nan,nan,0.013048936912101496,0.052118658171678975,-0.01592472000368007
831,1548340577.91045,187629,2712,0.014454055609740498,20.235466050957125,1.9908862730325119,0.9699779425372618,20.235466050957125,18.948964841149774,18.465582312951057,nan,19.88053016849434,1.4821748254220102,0.22246362207892448,-1.310456361687044,6.081581174808695,2.979188701033337,nan,nan,0.6970170302141439,2.2156455737125405,0.20474464880178875
