frame,stem,n_valid,n_removed,area_frac,resolution_mm,oracle_mm,oracle_mrad,res_all_mm,res_robust_mm,res_oracle_mm,res_mrcs_mm,res_shift_mm,oracle_x,oracle_y,oracle_z,robust_mm,robust_pi,mrcs_mm,mrcs_pi,shift_mm,shift_max_mm,shift_pi
10,1548265919.82755,202672,3672,0.018117944264624614,7.122834929056136,0.8167170499996771,0.4880454689167849,7.122834929056136,10.305319699995772,7.036168608818004,11.28965965252899,7.079682149955693,-0.37305955214878583,-0.7222390035677435,-0.07889316850143283,17.495156339298156,-19.356891000719084,5.683908678769003,5.400792262747775,0.9099041271462729,0.9418817687272534,1.036716585776202
20,1548265920.16124,201677,1266,0.006277364300341636,6.196647255679751e-05,0.044160271623587745,0.016296666618375186,3.255916119493065e-05,0.003565856361490605,6.196647255679751e-05,8.0757203174983e-05,nan,0.032893248205308825,-0.01250012999274581,-0.02668165217031085,0.3525344237607856,1.0709088266499724,2.3109960266356393,-40.44816826348195,nan,nan,nan
29,1548265920.46158,203676,1466,0.007197706160765137,2.611878035229251,0.3448477446483733,0.13341789065101725,2.579182736983201,0.8365060231268941,2.611878035229251,13.089577865933748,2.78123179265056,-0.18797583653608183,0.24121612230538894,0.1593732543671666,1.6022678808965856,-4.458650883188811,2.8776727810630938,5.198695199978929,0.05079909890755281,0.14694904591603855,0.031114985660065618
39,1548265920.79522,201389,2758,0.013694888995923313,36.18713641671966,3.173316090534756,1.2318535696670594,36.18713641671966,16.99750888606759,34.72672231967869,19.266174710539413,36.52835914275332,1.828454844205239,-1.710903127975919,-1.949230201856979,22.318435780143783,1.3294641504832647,41.99478921418389,-0.14378137704359079,1.4959515652920936,2.8582092062475994,0.3691634002770787
48,1548265921.09553,202496,2131,0.010523664664981036,0.9037318821982554,0.19717952074339312,0.058506058341692,0.9037318821982554,4.6143513611649,0.8270886149765434,4.1759595592369845,1.254572959111124,0.11923511021874512,-0.03636563631351606,-0.1527753003179211,3.291353743964769,11.106376235283136,13.935260957308351,-50.269241519664135,0.13347553175040985,0.9791200299755809,-0.1540668766287257
58,1548265921.42925,198094,3936,0.019869354952699224,0.008864744428566216,0.5799395735803105,0.06999448768404873,0.008864744428566216,0.04197077950457029,0.007990122127371855,0.0002621974807466258,0.011570139278099445,-0.5592734357141665,-0.08194816866414308,-0.12972135815499847,3.3513246691485232,-3.342076266206013,12.979643427000445,-18.67998033692113,0.60581022094009,2.3131991926630913,-0.7954472827742919
68,1548265921.76295,196359,2573,0.013103550130118814,3.083729788152121,0.2256318699498535,0.045150128682008926,2.4571210157461096,15.56322480149918,3.083729788152121,1.3754554631052487,2.848964305701724,-0.03787428115093569,-0.05507503608424097,-0.2155041066074775,8.996275535944964,25.354429974274964,16.934757716583505,-7.877142544101091,0.21586317692911805,0.23547381894152453,0.34412304515625836
77,1548265922.06321,204480,6820,0.0333528951486698,0.9516098767053923,0.398260175802806,0.0860405557303546,0.9252256069178538,1.9726332617933326,0.9516098767053923,0.03666153657320276,0.9149213288972484,-0.35894530113786793,-0.07250718395664289,0.1565635548146654,8.485614843325477,-18.72510804543372,7.043866001094444,15.231871127338744,0.3662393605800148,0.5211644564217457,0.3978297846045746
87,1548265922.43029,198251,557,0.002809569686912046,0.1437521690860108,0.05227783204957985,0.015357278837141457,0.1437521690860108,1.6396595461503276,0.14225501016442574,0.005553380845457169,0.14365289472010737,0.03275117068894419,-0.01728846018534537,-0.03689771926186562,3.3924375178809787,1.1375612238763022,7.854628649733191,81.7597573567676,0.045865269872063526,0.045865269872063526,0.8758459469772928
96,1548265922.73062,210321,6830,0.032474170434716454,2.7168787846612763,0.6680188755653053,0.42142718365924015,2.7168787846612763,1.2836019502263525,2.655890625506568,0.009832612246248562,2.693497886517815,0.3104032851010888,-0.37744493768369397,-0.45544959954635955,12.866752183615086,4.053604061955527,10.354850410640587,5.098147988954047,0.16547284674877144,0.478054462769538,0.15158159575694902
