frame,stem,n_valid,n_removed,area_frac,resolution_mm,oracle_mm,oracle_mrad,res_all_mm,res_robust_mm,res_oracle_mm,res_mrcs_mm,res_shift_mm,oracle_x,oracle_y,oracle_z,robust_mm,robust_pi,mrcs_mm,mrcs_pi,shift_mm,shift_max_mm,shift_pi
1,1548266530.54122,195929,1585,0.008089665133798468,0.6805859999708678,0.151097116263053,0.09285623888703767,0.6805859999708678,1.5570673875062315,0.66290825382841,0.24468444124865943,0.6753883876852826,0.027038671892750284,-0.14360099219223826,0.03844481508202998,10.048512688691696,-57.287047590448175,17.69248504108355,-95.49897048287745,0.18602632295531912,4.479590384316151,-0.806297913305564
8,1548266530.77475,193173,514,0.0026608273412951087,0.012355320445462857,0.02118683802923701,0.024056569002307196,0.012355320445462857,0.21973571352206714,0.010849813381362082,0.07040604895436472,0.012405451067442327,0.008223329412446202,-0.0016376899200168868,0.01945705349680151,4.947394648550343,-62.63217423508983,21.358112926040207,-304.98475511561963,0.1221064021415045,0.1221064021415045,3.8283308885483964
24,1548266531.30863,195458,1129,0.005776176979197577,1.8186788846252826,0.2304107267326818,0.12617747514776714,1.767427684856396,4.202506868291828,1.8186788846252826,7.051301212102815,1.771307837177414,0.21532310226686172,0.06575899417158239,0.04899815618162547,18.41713214078354,-69.86936285466689,21.56456060906711,-77.24979185164061,0.04824746362766713,0.10075258205754835,0.11229611164854683
32,1548266531.57557,197336,40083,0.20312056593829814,25.792692330785094,8.474097090149357,2.451462730401286,25.792692330785094,37.52751802600771,17.749378546434915,23.275536745489546,33.70454365719632,-5.638114059932755,-5.85232063893025,-2.402568309042935,30.044355103304664,0.7173795261099405,13.670195679517903,-0.5393659519946582,2.4290582428321352,8.597174653316747,0.04181987968042297
40,1548266531.84250,189127,44677,0.23622750849957966,2.1804082585813256,20.379167067245447,5.270651562641919,2.1804082585813256,3.392427210438772,0.00023127142910092934,0.0023208647498649403,3.153024394225791,-17.17656998197976,8.98079424561375,6.294539596094707,6.625840225796723,0.2672033589402595,19.225841971732844,0.9433668915407567,4.500178031213909,7.3958631022099945,0.13135655997133192
48,1548266532.10938,198536,43936,0.22129991538058588,2.7073522754573114,31.940219028690233,9.619899103560503,2.7073522754573114,4.164788082530329,0.010734463632560757,5.163492944838691,3.828104429905591,-7.026182707181579,30.788622898991754,4.782368466532943,13.81686320053088,0.37823672946205306,28.671346354178294,0.8647360820249815,10.045656600224085,14.85424313059083,-0.12103599977512584
56,1548266532.37630,202006,41105,0.20348405492906152,13.299848472756983,79.46564421123615,23.703044443091922,13.299848472756983,12.496859247737868,0.0001908724900998436,0.0020775345707675142,4.340083790571559,-19.943695574934615,-76.92113097909095,-0.4209817319525037,47.78745469103283,0.5738664747124332,71.22945139897386,0.8440003061265386,17.863506005622327,24.551649627201403,-0.10812151490705027
64,1548266532.64325,202654,45158,0.22283300601024406,0.5023106993373996,23.25203264320392,5.842319964861087,0.5023106993373996,0.6140089496173835,0.00030358459100813715,0.0005332478579507672,4.003521123211344,-20.81448948666507,-3.7418268523352816,-9.665028776846574,3.9364794695810628,-0.02291358225194562,19.3849188560623,0.8265602882673494,4.7628613033505385,9.037320054771367,0.189362351018883
72,1548266532.91022,210282,1876,0.008921353230423907,7.321385942737606,0.42979146052181394,0.1267541560095924,5.743752292520684,13.455342538128189,7.321385942737606,0.003343067033348753,6.273823387010412,0.413612384356476,0.022841447018329464,-0.11455899503109113,5.10311809680865,-0.8000962131806387,9.455678632682313,-19.64121682428908,0.027428617585346097,0.07957994798315836,-0.0015937254909664522
80,1548266533.21049,210164,43667,0.20777583220722864,0.8852098757640668,3.7827842149596926,0.9423691761635019,0.8852098757640668,5.895412807128383,0.6978902134795808,0.1327691883391374,0.4244809655816588,-0.7652652883113926,2.6359262761541897,2.6030209607557535,1.297159229022765,0.15253453977414227,5.53534052122691,0.5997973079754252,3.4141666454729642,3.659019015161337,0.8956637791724564
88,1548266533.47744,211770,7171,0.033862209000330545,6.437598291499441,0.38110129876779975,0.113967463586729,3.937684616048682,13.346768344841841,6.437598291499441,0.08141350040321067,4.411659738500207,-0.1429398295718265,-0.3480077346110578,0.06080313886108636,2.4870383229232895,-5.51384938114888,3.922824564133804,-5.570361391432517,0.1231425496579038,0.30601742807165333,0.18689699809987775
95,1548266533.71095,208644,8818,0.04226337685243765,11.430153665034346,8.013380688033426,2.4261630891382753,4.713301262088042,24.302985810311295,11.430153665034346,59.16573662259536,10.968562650889968,-0.5086094770177497,-7.9150723028237495,-1.1433358615503717,21.385283109445695,2.1863972279619066,55.79010796793973,6.587574537930956,1.8341084693303986,7.458330271970984,0.16390361373329604
103,1548266533.97794,212519,11816,0.05559973461196411,30.55575723013422,1.406844719569328,0.4185659074887162,10.44512222197549,38.888846144562784,30.55575723013422,28.045153689635974,31.362139730068293,-1.1355679085430954,-0.5483183762437531,0.6237343571910848,16.641830440857635,-3.916375433788863,24.17935327464593,-12.50239928365371,1.1786986827210084,1.4413824585648705,0.7779990197843196
111,1548266534.24482,214651,1066,0.004966200949448174,3.7904453892075485,0.20672839947139313,0.06000186516468855,3.7904453892075485,5.020756945122155,3.6136092088052973,8.02026876955373,3.7978589652253993,-0.12749127402604485,-0.14754820220121523,-0.06864498687019426,7.327120019920745,9.588440608299493,33.56025523554818,-106.50617163638724,0.1948492653242119,0.1948492653242119,0.15395869789164354
119,1548266534.51177,212117,6045,0.028498423040114653,0.6790347423791776,0.8520395293549434,0.24037718555053264,0.5879250142537764,0.4108236938072383,0.6790347423791776,0.0012924461341434488,1.3509719750309488,-0.05166475829190039,-0.8241237511282414,-0.210052743758203,4.797066670879089,-4.960509172750794,21.897753735584196,-10.848392112277585,0.8864085271541784,1.607290542891193,0.8736792549001675
127,1548266534.77870,212988,7306,0.034302402013258966,4.027038069935343,5.64349194672363,1.773312044951271,4.027038069935343,7.956982870949342,1.0893147361480089,2.494922601017122,1.2481935866636524,-4.037769008221712,-3.5756732304502767,1.6613198782955687,19.628581811657394,-2.8152048989587892,4.355945819871996,0.2835764889402738,5.58592851985551,5.789444029026037,0.9890169607904424
135,1548266535.04566,209382,55363,0.2644114584825821,0.32865675108967024,22.447788231528545,7.005669596996235,0.32865675108967024,0.3292239611954175,0.03941081794870722,0.12332036684915394,0.4280278314239259,-9.125712895564833,19.437219718588675,-6.543626689121307,20.949384801564268,0.7645114780459737,25.802279822607836,0.8687869562695052,22.937573717334026,33.76664085665153,0.6464483827285687
