label,kind,delta,unit,mean_e_flow,rel_pct,corr_e_flow_depth,n_frames
f3_office,rot,0.1,deg,0.12155,1.37,0.2217,30,0.08072,-32.68,1.549,1.0
f3_office,rot,0.25,deg,0.1354,12.93,0.2177,30,0.08065,-32.74,2.324,1.0
f3_office,rot,0.5,deg,0.15716,31.07,0.1891,30,0.08056,-32.81,4.106,1.0
f3_office,rot,1.0,deg,0.20247,68.86,0.1479,30,0.08031,-33.02,7.949,1.0
f3_office,rot,2.0,deg,0.23267,94.04,0.1228,30,0.10723,-10.57,15.79,0.833
f3_office,trans,0.0,m,0.1199,0.0,0.1762,30,0.08079,-32.62,1.389,1.0
f3_office,trans,0.01,m,0.16228,35.34,-0.3484,30,0.0807,-32.7,3.185,1.0
f3_office,trans,0.02,m,0.22416,86.95,-0.4711,30,0.07999,-33.29,5.952,1.0
f3_office,trans,0.05,m,0.24241,102.17,-0.4975,30,0.10258,-14.45,14.534,0.833
f3_office,trans,0.1,m,0.24172,101.59,-0.5017,30,0.19529,62.87,28.667,0.267
f3_office,trans,0.2,m,0.24169,101.57,-0.5018,30,0.23618,96.98,56.114,0.033
f3_wk_hf,rot,0.0,deg,0.19874,0.0,-0.0731,30,0.15916,-19.92,2.946,1.0
f3_wk_hf,rot,0.1,deg,0.20166,1.47,-0.1152,30,0.15698,-21.01,3.067,0.967
f3_wk_hf,rot,0.25,deg,0.20435,2.82,-0.1467,30,0.15467,-22.17,3.668,1.0
f3_wk_hf,rot,0.5,deg,0.21755,9.47,-0.1772,30,0.15388,-22.57,5.162,1.0
f3_wk_hf,rot,1.0,deg,0.23045,15.96,-0.1572,30,0.15206,-23.49,8.805,0.967
f3_wk_hf,rot,2.0,deg,0.23964,20.58,-0.1263,30,0.17172,-13.59,16.526,0.733
f3_wk_hf,trans,0.0,m,0.19874,0.0,-0.0731,30,0.15916,-19.92,2.946,1.0
f3_wk_hf,trans,0.01,m,0.21511,8.24,-0.2156,30,0.1552,-21.91,3.677,1.0
f3_wk_hf,trans,0.02,m,0.24082,21.17,-0.385,30,0.15363,-22.7,5.033,1.0
f3_wk_hf,trans,0.05,m,0.26825,34.98,-0.4661,30,0.15267,-23.18,9.949,1.0
f3_wk_hf,trans,0.1,m,0.25752,29.58,-0.4949,30,0.18347,-7.68,18.723,0.633
f3_wk_hf,trans,0.2,m,0.25736,29.5,-0.5082,30,0.24609,23.83,36.209,0.067
f1_desk,rot,0.0,deg,0.15844,0.0,0.299,30,0.11989,-24.33,2.674,1.0
f1_desk,rot,0.1,deg,0.15748,-0.61,0.3212,30,0.1214,-23.38,2.757,0.933
f1_desk,rot,0.25,deg,0.15926,0.51,0.2729,30,0.11888,-24.97,3.296,1.0
f1_desk,rot,0.5,deg,0.17653,11.42,0.2042,30,0.11988,-24.34,4.714,1.0
f1_desk,rot,1.0,deg,0.2133,34.62,0.1591,30,0.11821,-25.39,8.081,1.0
f1_desk,rot,2.0,deg,0.23959,51.22,0.1165,30,0.12694,-19.88,15.352,0.9
f1_desk,trans,0.0,m,0.15844,0.0,0.299,30,0.11989,-24.33,2.674,1.0
f1_desk,trans,0.01,m,0.19072,20.37,-0.2404,30,0.11589,-26.86,5.793,0.967
f1_desk,trans,0.02,m,0.22734,43.49,-0.4512,30,0.11616,-26.69,9.828,0.967
f1_desk,trans,0.05,m,0.23788,50.14,-0.5407,30,0.17803,12.36,22.2,0.467
f1_desk,trans,0.1,m,0.24071,51.92,-0.5533,30,0.24071,51.92,42.573,0.0
f1_desk,trans,0.2,m,0.24039,51.72,-0.5472,30,0.24039,51.72,82.104,0.0
crowd,rot,0.0,deg,0.2038,0.0,-0.3331,30,0.16433,-19.37,4.549,0.967
crowd,rot,0.1,deg,0.20591,1.04,-0.3475,30,0.16351,-19.77,4.63,0.967
crowd,rot,0.25,deg,0.20885,2.48,-0.3355,30,0.16343,-19.81,5.013,1.0
crowd,rot,0.5,deg,0.2184,7.16,-0.3356,30,0.16303,-20.01,6.165,1.0
crowd,rot,1.0,deg,0.23545,15.53,-0.3336,30,0.15984,-21.57,9.294,1.0
crowd,rot,2.0,deg,0.23923,17.39,-0.2941,30,0.16755,-17.79,16.71,0.767
crowd,trans,0.0,m,0.2038,0.0,-0.3331,30,0.16433,-19.37,4.549,0.967
crowd,trans,0.01,m,0.21409,5.05,-0.3583,30,0.1653,-18.89,4.83,0.933
crowd,trans,0.02,m,0.2218,8.83,-0.4704,30,0.16789,-17.62,5.522,0.967
crowd,trans,0.05,m,0.26693,30.97,-0.6737,30,0.16512,-18.98,9.156,1.0
crowd,trans,0.1,m,0.28603,40.35,-0.7455,30,0.18045,-11.46,16.948,0.833
crowd,trans,0.2,m,0.28754,41.09,-0.7574,30,0.28776,41.2,33.052,0.033
crowd2,rot,0.0,deg,0.23102,0.0,-0.5072,30,0.17853,-22.72,4.56,1.0
crowd2,rot,0.1,deg,0.23264,0.7,-0.506,30,0.17761,-23.12,4.764,1.0
crowd2,rot,0.25,deg,0.23856,3.27,-0.5042,30,0.17823,-22.85,5.303,1.0
crowd2,rot,0.5,deg,0.25301,9.52,-0.4914,30,0.17925,-22.41,6.619,1.0
crowd2,rot,1.0,deg,0.25929,12.24,-0.4481,30,0.17778,-23.05,10.013,1.0
crowd2,rot,2.0,deg,0.25398,9.94,-0.3683,30,0.2057,-10.96,17.659,0.6
crowd2,trans,0.0,m,0.23102,0.0,-0.5072,30,0.17853,-22.72,4.56,1.0
crowd2,trans,0.01,m,0.23527,1.84,-0.4882,30,0.18108,-21.61,5.029,1.0
crowd2,trans,0.02,m,0.24706,6.94,-0.4662,30,0.18355,-20.55,5.675,1.0
crowd2,trans,0.05,m,0.28348,22.71,-0.6695,30,0.18106,-21.62,9.367,0.967
crowd2,trans,0.1,m,0.2919,26.35,-0.7152,30,0.18665,-19.2,17.132,0.733
crowd2,trans,0.2,m,0.29235,26.55,-0.741,30,0.27412,18.66,33.52,0.167
f3_wk_rpy,rot,0.0,deg,0.20634,0.0,-0.3026,30,0.18433,-10.67,2.281,0.9
f3_wk_rpy,rot,0.1,deg,0.20275,-1.74,-0.2982,30,0.18753,-9.12,2.438,0.867
f3_wk_rpy,rot,0.25,deg,0.20476,-0.76,-0.2482,30,0.18279,-11.41,3.122,0.9
f3_wk_rpy,rot,0.5,deg,0.21098,2.25,-0.2139,30,0.17126,-17.0,4.77,1.0
f3_wk_rpy,rot,1.0,deg,0.23153,12.21,-0.1589,30,0.17305,-16.13,8.43,1.0
f3_wk_rpy,rot,2.0,deg,0.24685,19.63,-0.1151,30,0.19916,-3.48,16.119,0.667
f3_wk_rpy,trans,0.0,m,0.20634,0.0,-0.3026,30,0.18433,-10.67,2.281,0.9
f3_wk_rpy,trans,0.01,m,0.21329,3.37,-0.4009,30,0.17852,-13.48,2.559,0.933
f3_wk_rpy,trans,0.02,m,0.22994,11.44,-0.4621,30,0.17447,-15.44,3.778,0.967
f3_wk_rpy,trans,0.05,m,0.25708,24.59,-0.5504,30,0.16812,-18.52,8.684,1.0
f3_wk_rpy,trans,0.1,m,0.25761,24.85,-0.578,30,0.19052,-7.66,17.209,0.767
f3_wk_rpy,trans,0.2,m,0.25782,24.95,-0.5871,30,0.23834,15.51,33.885,0.1
