frame,stem,n_valid,n_removed,sigma,all_dt_mm,all_dr_mrad,all_sdt_mm,all_sdr_mrad,all_tx,all_ty,all_tz,robust_dt_mm,robust_dr_mrad,robust_sdt_mm,robust_sdr_mrad,robust_tx,robust_ty,robust_tz,oracle_dt_mm,oracle_dr_mrad,oracle_sdt_mm,oracle_sdr_mrad,oracle_tx,oracle_ty,oracle_tz,shift_dt_mm,shift_dr_mrad,shift_sdt_mm,shift_sdr_mrad,shift_tx,shift_ty,shift_tz,mrcs_dt_mm,mrcs_dr_mrad,mrcs_sdt_mm,mrcs_sdr_mrad,mrcs_tx,mrcs_ty,mrcs_tz
1,1548266469.88217,261303,6178,0.020144361310054735,4.742382083582819,3.5550218969507705,0.02552527035750213,0.009338789668061235,2.2902709414661184,2.7231086279240095,-3.135207527722693,2.086767526037876,1.7937078410955136,0.06047596382157505,0.02216628419291811,1.288468566061717,-0.24857524044616358,-1.622546705594089,4.715962033419217,3.5479353039696124,0.025673205778753986,0.009413379273039977,2.3153569707247037,2.695927293878342,-3.100225157128082,4.739670685714112,3.5392078849833566,0.025821717937079474,0.009488315721472759,2.289159275319275,2.7202736403919188,-3.138034553326631,2.878998679354739,2.440771324936944,0.04776124210694366,0.016502051728389207,0.5740723788826031,-0.3321196367662897,-2.8015657847719067
2,1548266469.91552,262217,5734,0.024970460871155897,7.015242295383524,3.4588627702671646,0.03481762086324722,0.01246872829264152,4.967044376679804,1.4696733475838981,-4.73097821538347,4.729267183935939,2.3730025913805446,0.07572694813908905,0.02693812315602429,3.141526968062236,0.005291070105356025,-3.535074031836985,7.279195729391919,3.7158442868663757,0.03510924275982342,0.012671710532330287,4.946713511487556,2.0390880520502765,-4.935467132708899,6.99274069560736,3.4511197040331334,0.035144016549632916,0.012567120629326392,4.934660464001436,1.5008846592082805,-4.707049027261117,9.40467757619489,2.708989877963402,0.0579533484274637,0.020343117655546628,6.564292688363648,-4.6483112409059295,-4.87352279376491
3,1548266469.94889,260917,28591,0.03028833758588903,5.313867878056747,4.125363345228595,0.04794472634743379,0.017039480761903206,4.848849042691712,1.6986688994229453,-1.3566056010367278,3.500341076352089,2.915684279383185,0.10174360313973105,0.0356683920331444,2.9764215725159597,1.228182926133052,-1.3729053038773555,7.943647047423292,4.0274597356168576,0.08477208199862558,0.028148001466965323,7.377547435984645,-0.5602730361623189,-2.891265530659999,6.7670015918756565,4.335566102327424,0.05539479571175548,0.019373180839839438,6.261928973651598,1.985243836826812,-1.4338796043629407,5.653355886001059,4.432013936651582,0.07369237597085693,0.02640215060433504,5.338218756317133,1.300523338483287,-1.331349814867255
4,1548266469.98226,261992,4969,0.027746054751127125,2.866866511011334,2.829613488374354,0.03862329165196519,0.01367370380826579,1.691614849868473,1.767849040992748,-1.4940122355334926,2.749698746146736,2.6245986584370495,0.08389075158387212,0.029662553671352655,0.024986399982523912,1.767488682334927,-2.106229482320193,2.8179749128971823,2.799665511843808,0.038718911385412516,0.013742115394749344,1.6822975900266837,1.7061613185825433,-1.4831962052543726,2.883551644633161,2.8359194802691885,0.03888851056693518,0.013780640642828124,1.667091391445327,1.775022738948875,-1.530375705708574,1.6991041579703392,3.1101048652373358,0.07669231543188758,0.02541580116766443,0.2412291930799398,0.9955568430358461,-1.3555921172397678
5,1548266470.01563,262951,5410,0.02202594677257648,6.721755509099696,3.9021315955287985,0.03421263916393541,0.011973294591292353,5.151110288311804,2.0896676823538107,-3.7790671995991882,3.869779653602823,2.352769838350492,0.0762761994803531,0.02655031470603294,2.8666703229189885,0.1917396743527749,-2.592418122991162,6.665204098889491,3.805548254436255,0.03443329008364961,0.012089436732897084,5.049557456865575,1.9750101862839953,-3.8763707167582675,6.642227714312486,3.8996065785034877,0.03458434707323321,0.012089804084985663,5.116876613839306,2.151094335302677,-3.6904758127508908,10.925114628204646,4.198524677624065,0.07855987681833647,0.025210450897981122,10.426333519490694,-1.955338399293236,-2.6127285974638292
6,1548266470.04900,261683,7995,0.03034751608172022,3.2124408087945078,3.5814007282371136,0.0503067150071115,0.01770159230898463,2.318404370516083,1.8695974241570898,1.20390306767838,2.763054071143318,2.902591264688162,0.10509130085545626,0.03653440488835439,1.7476588679049,2.138681930213551,-0.07871393061629192,3.028476733797784,3.5497671429169473,0.051864432011584624,0.018298767348300493,2.4070565469927674,1.6810483387325472,0.7428503143825751,3.117447462015794,3.5847509528169774,0.0507649920137174,0.017955186783836334,2.2394580511237114,1.8825284145327066,1.1938469891153975,6.941574203383453,4.641237063314829,0.0821893003108697,0.02809066497220035,4.278275058960538,1.8261185457802072,5.152388377996403
7,1548266470.08237,261054,23804,0.01643480463767159,7.045739574297151,3.9032727607786835,0.025149822843671885,0.008649256790352505,2.6110619107071162,3.6012682040486554,-5.464034147933162,3.940220805674365,1.6219041064427957,0.061396023926349866,0.021344332590711574,2.336186229871126,-1.2661494614900588,-2.909370969470568,7.91032326022084,2.835385079462444,0.04279210665115723,0.014082267493967045,-4.0631821921114515,-3.2767919018699225,-5.943601550132624,7.168491705222456,3.9895746422037974,0.026387922032108498,0.009063747338900889,2.7758523661053576,3.860020557629994,-5.5033181751752736,5.999384991823126,2.3570688047637254,0.06186401619862441,0.019621308524362994,-1.8965320436768927,-3.7451357029364276,-4.285994056693289
8,1548266470.11574,261139,568,0.023143686742612468,5.473811098456217,2.6719020072877724,0.03458664801734781,0.011850104378433545,4.398209318420731,-1.0424994770129021,-3.087322071531787,3.4054230873443205,2.080059641855272,0.07902735490719719,0.027174544068317943,2.3214381721404242,-0.18616615486380517,-2.484587164808326,5.4627866642554626,2.7160276922141358,0.034629826546243705,0.011878133515705179,4.427086101119849,-1.0489105838863269,-3.0236953185547684,5.474990333352222,2.6717797590486967,0.03459630952379747,0.011853188199271232,4.39710849441615,-1.0415405155778223,-3.0851633107815513,8.90114268266373,2.7041605963106874,0.07754874939452824,0.024820751188120414,6.99002317923788,-5.425340308638261,-0.9672639486304238
17,1548266470.41606,260592,1298,0.01809831648095861,5.194676706621241,2.6812939520033905,0.025868112327763662,0.00881708441766401,4.240547262967805,1.054246765566237,-2.809090378421935,4.176884294507906,2.5814037698553376,0.061474524251937175,0.02107184829096943,2.3264266103626694,1.911582488936095,-2.894815024193455,5.074010471397911,2.669851844237256,0.026036126245724968,0.008870936249664766,4.130224211553133,1.0639925218057849,-2.748590573311587,5.191349915795727,2.6783166876131537,0.025907302108531628,0.008841930581489358,4.2381343638621285,1.048392806397846,-2.8063755158971517,8.131053509823113,3.2307668525566298,0.04539329547884901,0.015097232263530583,7.661813744999903,0.7918086302990879,-2.6045499437563504
18,1548266470.44942,258702,785,0.01849419787031443,5.111413118644806,4.747859434201313,0.029785683533051242,0.01011276142434483,2.060773754479215,-3.538382307750075,-3.0593473563008673,3.9784195984929065,3.6697149708485997,0.06992188839430306,0.023753929577880153,1.8651364495518599,-3.373309020780286,-0.9848222055517891,5.080009322039406,4.736425821074278,0.029836242534144797,0.010121434783203632,2.0375573470552504,-3.533092129020356,-3.0285499463147123,5.112374280959926,4.747014350133425,0.02981412823890662,0.010122200844982216,2.050408526139918,-3.5384215326525346,-3.080016664905688,5.267810822558985,3.7457395698844818,0.04694534010287238,0.015533251360105986,0.9773435981691525,0.021178004349736008,-5.1763096744224155
19,1548266470.48279,258035,5690,0.015775300215351545,4.869434238961338,3.176120839378334,0.02302729578403592,0.007868393859169407,2.9235893581149344,2.889546210391524,-2.6104669641077782,3.5844228600807835,2.1157306231872366,0.06019426459158738,0.020327427093609067,3.2460480289506957,0.6440140340279502,-1.3771366517488577,4.811914086836607,3.1427147656973045,0.023241403418033206,0.007978028525341825,2.9661054663470288,2.7853134042136145,-2.568806100489256,4.8272613655573,3.1674683302008964,0.02345322536571438,0.008002813939632442,2.8845910583397956,2.8304131929311707,-2.608677131524522,8.491449013727314,0.4071812852915415,0.0687367133257651,0.021408075009459855,4.769219101211434,-5.525384052392361,-4.3392841104194515
20,1548266470.51616,260844,7443,0.02681774664653087,3.725565072978011,1.8637862371469693,0.03962531543185948,0.013471970763810438,3.298642989363506,-1.1986653117746209,-1.2497963882428607,2.8833852094737717,1.8161612111337193,0.08808771247284451,0.03005818597004694,1.842266685900641,0.12544256016157024,-2.214549138839074,3.682944715063136,1.8587800137406527,0.04091566081339512,0.013825679127480804,3.1897722625138805,-1.2462149674559881,-1.3551320756285097,3.700925905118258,1.9589410588103653,0.04029067437718549,0.013735459314217194,3.3160275012371025,-0.9507409767483279,-1.2597688270284029,4.612727870320766,1.8294029830360732,0.06203069765303493,0.020289228407846794,3.675246099664423,-2.7198564633440183,-0.6100863310558319
