c_rgb@0.0,c_depth@0.0,ess_frac@0.0,c_rgb@0.05,c_depth@0.05,ess_frac@0.05,c_rgb@0.1,c_depth@0.1,ess_frac@0.1,c_rgb@0.25,c_depth@0.25,ess_frac@0.25,c_rgb@0.5,c_depth@0.5,ess_frac@0.5,c_rgb@0.75,c_depth@0.75,ess_frac@0.75,c_rgb@1.0,c_depth@1.0,ess_frac@1.0,sem_area_frac,depth_valid_frac,gtmc_area_frac,gtmc_recall,gtmc_missed_frac,_inter_px,_gtmc_px,_mask_px,_total_px,seq,frame,stem
1.0,1.0,0.8364483085863741,1.0097764839016554,1.0106564608859347,0.85246660175215,1.0195530896423197,1.0213130663132919,0.8677816502732052,1.0488827850253035,1.0532825935125185,0.9091128774975494,1.097765570050607,1.1065651870250368,0.9610176433085228,1.1466483550759106,1.1598477805375553,0.990790894424882,1.195531140101214,1.2131303740500738,1.0,0.16355169141362588,0.8537760376930237,0.021682944148778915,0.09142771355652304,0.01970052160322666,609.0,6661.0,50190.0,307200.0,balloon,0,1548266469.88217
1.0,1.0,0.8375399361022364,1.0096986701413353,1.0106549476406006,0.8534508625148068,1.0193972186433222,1.0213096792295424,0.8686619901257892,1.048493229067328,1.0532743060996856,0.90971081755911,1.0969864581346558,1.1065486121993713,0.9612634446761575,1.1454796872019837,1.159822918299057,0.9908451315547342,1.1939729162693116,1.2130972243987426,1.0,0.16246006389776357,0.8567578196525574,0.020761718973517418,0.21307619943555975,0.016337890177965164,1359.0,6378.0,49854.0,307200.0,balloon,1,1548266469.91552
1.0,1.0,0.8405407699540326,1.0094855385864268,1.0102856077451075,0.8561563533521939,1.0189710771728533,1.0205712154902151,0.8710826509261427,1.0474275715545267,1.0514280387255377,0.9113552345877739,1.0948551431090534,1.1028560774510752,0.9619402729180337,1.1422827146635801,1.1542841161766129,0.9909947650755523,1.1897102862181068,1.2057121549021503,1.0,0.1594592300459674,0.8525586128234863,0.09948893636465073,0.6937473415567843,0.03046875074505806,21203.0,30563.0,48882.0,307200.0,balloon,2,1548266469.94889
1.0,1.0,0.8418097883494386,1.0093958163897603,1.0101587807232664,0.8573003071273865,1.0187916327795206,1.0203175614465327,0.8721061310565328,1.0469792029743232,1.0507940465950476,0.9120509500142294,1.0939584059486465,1.1015880931900954,0.9622269928568866,1.1409376089229697,1.152382139785143,0.9910582802253624,1.187916811897293,1.2031761863801906,1.0,0.1581902116505614,0.8560253977775574,0.01751302182674408,0.03345724907063197,0.01692708395421505,180.0,5380.0,48561.0,307200.0,balloon,3,1548266469.98226
1.0,1.0,0.8406531586619835,1.0094774888273357,1.010207475943661,0.856257456221147,1.0189550988858371,1.0204148805966062,0.8711731591468568,1.0473878078301755,1.0510373084275892,0.9114168421625138,1.094775615660351,1.1020746168551783,0.9619656539471928,1.1421634234905265,1.1531119252827675,0.9910003845258062,1.189551231320702,1.2041492337103568,1.0,0.15934684133801646,0.8591048121452332,0.0189615897834301,0.1555364806866953,0.016012370586395264,906.0,5825.0,48865.0,307200.0,balloon,4,1548266470.01563
1.0,1.0,0.8434315408770132,1.0092816824824298,1.0099580534805994,0.8587625189553934,1.0185632440245829,1.0199161069611988,0.8734145032794904,1.0464081705315955,1.0497901960605258,0.9129403119556178,1.0928163410631908,1.0995803921210516,0.9625938368190858,1.1392245115947863,1.1493705881815774,0.9911396542835171,1.1856326821263816,1.1991607842421033,1.0,0.15656845912298684,0.8549251556396484,0.027451172471046448,0.035100201588995614,0.02648763172328472,296.0,8433.0,47996.0,307200.0,balloon,5,1548266470.04900
1.0,1.0,0.8437122779086383,1.0092619087207526,1.0099092092867987,0.8590156615365662,1.0185238174415052,1.0198183471208546,0.8736410207292172,1.046309543603763,1.049545903528508,0.913094297182124,1.0926190872075263,1.099091807057016,0.9626573887606277,1.1389286308112894,1.1486377105855239,0.9911537639644764,1.1852381744150526,1.1981836141140316,1.0,0.15628772209136169,0.8529101610183716,0.0823339894413948,0.7983236468588147,0.016604818403720856,20192.0,25293.0,47946.0,307200.0,balloon,6,1548266470.08237
1.0,1.0,0.8459005586883876,1.0091085905883623,1.0098302810086366,0.8609885104397776,1.0182171811767247,1.0196605620172732,0.875406356250508,1.0455430132208896,1.049151405043183,0.9142948815973455,1.091086026441779,1.0983028100863659,0.963153251620683,1.1366290396626686,1.1474542151295488,0.991263980394867,1.1821720528835582,1.1966056201727318,1.0,0.15409944131161235,0.8533138036727905,0.0018587240483611822,0.0,0.0018587240483611822,0.0,571.0,47236.0,307200.0,balloon,7,1548266470.11574
1.0,1.0,0.84587451956203,1.0091103860318955,1.0097770400819608,0.8609650607836511,1.018220772063791,1.0195541517879654,0.8753853326230859,1.045552111120977,1.0488854152819351,0.9142805922504004,1.0911042222419538,1.0977708305638703,0.9631473460771062,1.1366563333629305,1.1466562458458054,0.9912626664476062,1.1822084444839074,1.1955416611277405,1.0,0.15412548043797003,0.8489941358566284,0.0,,,0.0,0.0,47228.0,307200.0,balloon,8,1548266470.14910
1.0,1.0,0.8474608342740068,1.0089997646884457,1.0096072937248757,0.8623952490110925,1.017999529376891,1.019214658422475,0.8766652229011845,1.0449988835934432,1.0480366105698258,0.9151512441015595,1.0899977671868866,1.0960732211396516,0.9635073376343102,1.1349966507803297,1.1441098317094773,0.9913428198828849,1.179995534373773,1.192146442279303,1.0,0.15253916572599324,0.8543522357940674,0.0010286459000781178,0.0,0.0010286459000781178,0.0,316.0,46803.0,307200.0,balloon,9,1548266470.18247
